                           QSO        ion       Glon       Glat    maxcol_v_LSR      total_logN
                       NGC7714         NV     88.216    -55.564         -84.484          13.606
                       NGC7714       SiIV     88.216    -55.564          38.431          13.355
                        PDS456       CII*     10.392     11.164           8.124          14.810
                        PDS456        CIV     10.392     11.164           2.128          14.894
                        PDS456       FeII     10.392     11.164           5.126          15.263
                        PDS456         NV     10.392     11.164         -27.851          14.307
                        PDS456       NiII     10.392     11.164          11.122          14.368
                        PDS456        SII     10.392     11.164           8.124          16.018
                        PDS456       SiII     10.392     11.164           2.128          15.105
                        PDS456       SiIV     10.392     11.164         -12.861          14.119
                   PG-1407+265       CII*     34.669     72.589         -20.458          14.111
                   PG-1407+265        CIV     34.669     72.589         -26.454          14.368
                   PG-1407+265       FeII     34.669     72.589         -62.429          12.757
                   PG-1407+265         NV     34.669     72.589         -35.448          13.680
                   PG-1407+265       NiII     34.669     72.589         -38.445          13.853
                   PG-1407+265        SII     34.669     72.589          -2.470          15.452
                   PG-1407+265       SiII     34.669     72.589         -32.450          14.706
                   PG-1407+265       SiIV     34.669     72.589         -41.443          13.725
                   PG-1522+101       CII*     14.892     50.122          -3.161          14.201
                   PG-1522+101        CIV     14.892     50.122         -33.140          14.299
                   PG-1522+101       FeII     14.892     50.122          35.812          14.161
                   PG-1522+101         NV     14.892     50.122         -27.144          14.069
                   PG-1522+101        SII     14.892     50.122           5.833          15.328
                   PG-1522+101       SiII     14.892     50.122          -6.159          14.226
                   PG-1522+101       SiIV     14.892     50.122         -12.155          13.715
                   PG-1630+377       CII*     60.342     42.939         -11.242          13.873
                   PG-1630+377        CIV     60.342     42.939         -17.238          14.501
                   PG-1630+377       FeII     60.342     42.939          -2.249          15.012
